product_master_id,subproduct_id,operation_id,operation_name,sub_operation
20,"27, 34",,Grinding,Barrel & journal Grinding.
21,"27, 35",,Manual lathe,Final rework- (Threading & oil Groove).
22,"27, 36",,Fitter work,Final tapping work (Manual)
23,"27, 37",,QAD,Final Inspection.
,,,,
16,29,,Raw Material-1,Bandsaw cutting
16,29,,Raw Material-2,Shear Blades Parting
16,29,,Blanking-1,Thickness 1st side <br> Thickness 2nd side
16,29,,Blanking-2,Width 1st side  <br> Width 2nd side
16,29,,Blanking-3,Length 1st side  <br> Length 2nd side
16,29,,Blanking-4,Plain slot 1st side  <br> Plain slot 2nd side
16,29,,Blanking-5,Angular slot 1st side  <br> Angular slot 2nd side
16,29,,Blanking-6,Plain Hole
16,29,,Blanking-7,Hole+Tapping
16,29,,Blanking-8,Hole + Countersunk Counter 1st side  <br> Countersunk Counter 2nd side
16,29,,Blanking-9,Hole + Round Counter 1st side  <br> Round Counter 2nd side
16,29,,Blanking-10,Elliptical Hole
16,29,,Blanking-11,Round Hole + Elliptical Counter 1st side  <br> Elliptical Counter 2nd side
16,29,,Blanking-12,Elliptical Hole + Elliptical Counter 1st side <br> Elliptical Counter 2nd side
16,29,,Blanking-13,Key Way Rectangular - Slotter
16,29,,Blanking-14,Key Way Round - Milling
16,29,,Blanking-15,Round Profile on Width one side only
16,29,,Blanking-16,Bevel Cutting on Width 1st side  <br> Bevel Cutting on Width 2nd side
16,29,,Blanking-17,Hole on Length 1st side Face <br> Hole on Length 2nd side Face
16,29,,Heat Treatment,Blades Hardening
16,29,,Grinding-1,Semifinal Grinding Thickness 1st side <br> Semifinal Grinding Thickness 2nd side
16,29,,Grinding-2,Semifinal Grinding Width 1st side <br> Semifinal Grinding Width 2nd side
16,29,,Grinding-3,Face Grinding
16,29,,Grinding-4,Degree 1st side <br> Degree 2nd side
16,29,,Grinding-5,Bevel 1st side <br> Bevel 2nd side
16,29,,Milling-1,Hard Milling on Profile.
16,29,,Milling-2,Hard Milling on Bevel.
16,29,,Milling-3,Wire cutting on profile.
16,29,,Buffing,Counter Rework & Buffing & profile buffing
16,29,,Grinding-6,Final Grinding Thickness 1st side <br> Final Grinding Thickness 2nd side
16,29,,Grinding-7,Final Grinding Width 1st side <br> Final Grinding Width 2nd side
16,29,,QAD,FINAL INSPECTION
,,,,
9,30,,Raw Material,Bandsaw cutting
9,30,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
9,30,,Heat Treatment,Roll Hardening
9,30,,Hard Turning-1,Length+Facing+Centering both side
9,30,,Hard Turning-2,Barrel+Short side Journal hard turning+grove+thread 1st side. <br> Long side Journal hard turning+grove+thread-2nd side.
9,30,,Milling,Flate+Keyway+Drill work
9,30,,Grinding,Berral+Jouranal-1st Side. <br> All Jouranal-2nd Side.
9,30,,Other Work,Shink Fitting on journal diameter (Manual)
9,30,,Manual lathe,Final rework of step & groove of necring-1st & 2nd side.
9,30,,Fitter work,Final tapping work (Manual)
9,30,,QAD,FINAL INSPECTION
,,,,
1,31,,Raw Material,Bandsaw cutting
1,31,,Blanking,Facing+Centering+OD Turning+journal-1st & 2nd Side
1,31,,Drill+Tap,Drilling+Tapping -both Side
1,31,,Heat Treatment,Roll Hardening
1,31,,Hard Turning-1,Length+Facing+Centering both side
1,31,,Hard Turning-2,Barrel+Short side Journal hard turning+grove+thread 1st side. <br> Long side Journal hard turning+grove+thread-2nd side.
1,31,,Milling,Flate+Keyway+Drill work+Face Spline
1,31,,Grinding,Berral+Jouranal-1st & 2nd Side.
1,31,,Other Work,Shink Fitting on journal diameter (Manual)
1,31,,Manual lathe,Final rework in necring -1st & 2nd side.
1,31,,Fitter work,Final tapping work (Manual)
